index,usdjpy_close_log_d1
2014-01-02,-0.004476411113209622
2014-01-03,0.0005725737345088078
2014-01-06,-0.005836499369683779
2014-01-07,0.003735457626486749
2014-01-08,0.0021964388336588314
2014-01-09,-9.539709046180178e-05
2014-01-10,-0.006700513247655415
2014-01-13,-0.01100928550836855
2014-01-14,0.011777334701270625
2014-01-15,0.003353296555376417
2014-01-16,-0.0020106282803959985
2014-01-17,-0.00047931746112528373
2014-01-20,-0.0012473016728620223
2014-01-21,0.0013431835464672304
2014-01-22,0.0020113985996852435
2014-01-23,-0.012129528765269626
2014-01-24,-0.009439081418156192
2014-01-27,0.002538815932568106
2014-01-28,0.003990467118244467
2014-01-29,-0.006529283050812573
2014-01-30,0.004097966511526607
2014-01-31,-0.006545229247299389
2014-02-01,0.0
2014-02-03,-0.010443444670984015
2014-02-04,0.006613715435733525
2014-02-05,-0.002068253064058112
2014-02-06,0.006387914208574763
2014-02-07,0.0024460655021840694
2014-02-10,-0.0008798944694392574
2014-02-11,0.0038072970283984375
2014-02-12,-0.0010723861617520924
2014-02-13,-0.0036155802322399566
2014-02-14,-0.003726956059790787
2014-02-17,0.0014728266200130236
2014-02-18,0.004210120283445917
2014-02-19,-0.0003908922164503892
2014-02-20,-0.0004888302389955967
2014-02-21,0.0025393118440177886
2014-02-24,-0.00048782868424446235
2014-02-25,-0.0024427194714924383
2014-02-26,0.001270958767165098
2014-02-27,-0.002347648539852365
2014-02-28,-0.0030405594510245493
2014-03-01,0.0
2014-03-03,-0.003641198728517203
2014-03-04,0.007562772381699112
2014-03-05,0.0009779951879771431
2014-03-06,0.0074016699424968024
2014-03-07,0.0018418889410645178
2014-03-10,0.0
2014-03-11,-0.0024242436115065047
2014-03-12,-0.0024301348532915767
2014-03-13,-0.008994097192770667
2014-03-14,-0.004823556135810314
2014-03-17,0.0041358995440488044
2014-03-18,-0.0033467892249392506
2014-03-19,0.008932574731790766
2014-03-20,0.0004884959307736025
2014-03-21,-0.001466204260514914
2014-03-24,0.0
2014-03-25,0.0002934128829306104
2014-03-26,-0.0022517019646395298
2014-03-27,0.001273324037070367
2014-03-28,0.006147860300546704
2014-03-31,0.0038838771027922547
2014-04-01,0.004351406566286187
2014-04-02,0.0020241946282126833
2014-04-03,0.0005775895424333655
2014-04-04,-0.006081393326168083
2014-04-07,-0.0018413534300938394
2014-04-08,-0.012690525644044826
